project,path,presence_condition,one_enabled,one_disabled,most_enabled_disabled,pair_wise
apache,server/mpm_common.c,AP_MPM_USES_POD,1,1,1,1
apache,modules/experimental/util_ldap_cache.c,APR_HAS_SHARED_MEMORY,1,1,1,1
apache,os/unix/unixd.c,APR_HAS_SYSVSEM_SERIALIZE,1,1,1,1
apache,modules/ssl/ssl_util.c,APR_HAS_THREADS,1,1,1,1
apache,server/listen.c,APR_HAVE_IPV6,1,1,1,1
apache,server/mpm/prefork/prefork.c,GPROF,1,1,1,1
apache,modules/filters/mod_include.c,NETWARE,1,1,1,1
apache,support/ab.c,NOT_ASCII,1,1,1,1
apache,server/mpm/winnt/mpm_winnt.c,WIN32,1,1,1,1
apache,modules/slotmem/mod_slotmem_shm.c,(AP_NEED_SET_MUTEX_PERMS && APR_USE_SHMEM_SHMGET)||(AP_NEED_SET_MUTEX_PERMS && APR_USE_SHMEM_SHMGET_ANON),0,1,1,1
apache,server/mpm/winnt/mpm_winnt.c,WIN32 && !AP_ENABLE_V4_MAPPED,1,1,0,1
apache,os/win32/ap_regkey.c,WIN32 && !APR_HAS_UNICODE_FS && !APR_HAS_ANSI_FS,1,0,0,1
bash,support/getcppsyms.c,plexus,1,1,1,1
bash,execute_cmd.c,(DPAREN_ARITHMETIC && !COND_COMMAND)||(ARITH_FOR_COMMAND && !COND_COMMAND),1,1,0,1
bison,data/push.c,YYERROR_VERBOSE,1,1,1,1
bison,data/push.c,yyoverflow,1,1,1,1
busybox,libbb/verror_msg.c,!ENABLE_FEATURE_SYSLOG,1,1,1,1
busybox,miscutils/nandwrite.c,(!ENABLE_FEATURE_TAR_LONG_OPTIONS) || (!ENABLE_FEATURE_GETOPT_LONG),1,1,1,1
busybox,util-linux/mdev.c,CONFIG_MDEV && !CONFIG_FEATURE_MDEV_CONF,1,1,0,1
busybox,shell/hush.c,ENABLE_FEATURE_EDITING && (!ENABLE_HUSH_INTERACTIVE),1,1,0,1
busybox,miscutils/less.c,ENABLE_FEATURE_LESS_WINCH && !ENABLE_FEATURE_LESS_REGEXP,1,1,0,1
busybox,archival/tar.c,ENABLE_FEATURE_GETOPT_LONG && !ENABLE_FEATURE_SEAMLESS_LZMA && !ENABLE_FEATURE_TAR_LONG_OPTIONS,1,0,0,1
busybox,networking/nc.c,ENABLE_NC && !ENABLE_NC_110_COMPAT && !ENABLE_NC_EXTRA,1,0,0,1
busybox,networking/httpd.c,ENABLE_FEATURE_HTTPD_USE_SENDFILE && ENABLE_FEATURE_HTTPD_BASIC_AUTH && !ENABLE_FEATURE_HTTPD_AUTH_MD5 && !PIPE_BUF,0,0,0,1
busybox,shell/hush.c,ENABLE_HUSH_CASE && ENABLE_FEATURE_EDITING_SAVE_ON_EXIT && ENABLE_HUSH_INTERACTIVE && !ENABLE_FEATURE_EDITING,0,1,0,0
busybox,networking/ftpd.c,CONFIG_FTPD && ENABLE_FEATURE_FTP_AUTHENTICATION && !CONFIG_SU && !CONFIG_VLOCK && !CONFIG_LOGIN && !CONFIG_SULOGIN,0,0,0,1
cherokee,cherokee/access.c,AF_INET6,1,1,1,1
cherokee,cherokee/main.c,HAVE_POSIX_SHM,1,1,1,1
cherokee,cherokee/thread.c,HAVE_PTHREAD,1,1,1,1
cvs,src/buffer.c,(SHUTDOWN_SERVER && NO_SOCKET_TO_FD && START_RSH_WITH_POPEN_RW)||(!SHUTDOWN_SERVER && NO_SOCKET_TO_FD && START_RSH_WITH_POPEN_RW),0,1,1,1
dia,lib/prop_text.c,(GTK_DOESNT_TALK_UTF8_WE_DO) || (GTK_TALKS_UTF8_WE_DONT),1,1,1,1
dia,app/preferences.c,SCROLLED_PAGES,1,1,1,1
dia,app/app_procs.c,!GNOME && HAVE_POPT,1,1,0,1
firefox,libjar/nsJAR.cpp,ZIP_CACHE_HIT_RATE && !XP_UNIX,1,1,0,1
firefox,zlib/gzread.c,!Z_PREFIX_SET,0,1,1,1
fvwm,fvwm/virtual.c,!NO_REMEMBER_FOCUS,1,1,1,1
fvwm,modules/FvwmWharf/FvwmWharf.c,ENABLE_SOUND,1,1,1,1
fvwm,modules/FvwmWharf/FvwmWharf.c,ENABLE_SOUND,1,1,1,1
fvwm,fvwm/events.c,EXPERIMENTAL_ANTI_RACE_CONDITION_CODE,1,1,1,1
fvwm,fvwm/ewmh_icons.c,HAVE_EWMH,1,0,1,1
fvwm,libs/FlocaleCharset.c,HAVE_XOUTPUT_METHOD,1,1,1,1
